institution;location;address;country_code;latitude;longitude;website;dome_diameter;dome_tilt;mobility;seats;seat_arrangement;opening_year;visitors_per_year;optomechanical_projector;optomechanical_projector_manufacturer;fulldome_software;fulldome_software_manufacturer
Planetarium;Judenburg;Kirchplatz 1, 8750 Judenburg;AT;47.1681994;14.6612772;www.sternenturm.at;8.5;0.0;stationary;65;concentric;2006;unknown;Zeiss Skymaster ZKP 4;Zeiss;Zeiss Spacegate Quinto;Zeiss
Planetarium;Klagenfurt;Villacher Straße 239, 2090 Klagenfurt;AT;46.61931895;14.265672593350718;www.planetarium-klagenfurt.at;12.5;0.0;stationary;134;concentric;1977;unknown;Zeiss Spacemaster RFP;Zeiss;Sky-Skan definiti 8K compact;Sky-Skan
Planetarium;Schwaz;Alte Landstraße 15, 6130 Schwaz;AT;47.3539448;11.727221989862592;www.planetarium.at;8;0.0;stationary;65;concentric;2001;unknown;Zeiss Skymaster ZKP 3/B;Zeiss;Zeiss Spacegate Quinto;Zeiss
Planetarium;Wald im Pinzgau (Königsleiten);Königsleiten 29, 5742 Wald im Pinzgau;AT;47.2481159;12.1155296;www.sternwarte-koenigsleiten.com;7;0.0;stationary;50;concentric;1997;unknown;Zeiss Skymaster ZKP 3;Zeiss;;
Planetarium;Wien;Burgring 7, 1010 Wien;AT;48.20526795;16.35975325892225;www.nhm-wien.ac.at;8.5;0.0;stationary;61;unidirectional;2014;unknown;;;E&S Digistar;Evans & Sutherland
Planetarium;Wien;Oswald-Thomas-Platz 1, 1020 Wien;AT;48.21614285;16.394940200895384;www.planetarium-wien.at;20;0.0;stationary;192;concentric;1964;unknown;Zeiss Universarium IX;Zeiss;Zeiss Velvet;Zeiss
Planetarium;Luzern;Lidostraße 5, 6006 Luzern;CH;47.05276625;8.336632856823567;www.verkehrshaus.ch;18;0.0;stationary;230;concentric;1969;unknown;;;E&S Digistar;Evans & Sutherland
Planetarium;Schaffhausen;Weiherweg 1, 8200 Schaffhausen;CH;47.70562385;8.609760754275321;www.sternwarte-schaffhausen.ch;6;0.0;stationary;25;variable;2012;unknown;;;Sky-Skan definiti Solo;Sky-Skan
Planetarium;Schwanden, Berner Oberland;Schwandenstraße 131, 3657 Schwanden ob Sigriswil;CH;46.739324800000006;7.7262662743616435;www.sternwarte-planetarium.ch;8;0.0;stationary;50;concentric;2000;unknown;Zeiss Skymaster ZKP 4;Zeiss;Zeiss Spacegate Quinto;Zeiss
Planetarium;Karneid;Gummer 5, 39053 Karneid (BZ);IT;46.4432864;11.4836295;www.planetarium.bz.it;9.1;0.0;stationary;53;unidirectional;2013;unknown;;;E&S Digistar DLP 3D;Evans & Sutherland
